stage,day,strain,treatment,count,vial,sex,trial
pupae,14,wB,nicotine,30,1,,2
pupae,14,wB,nicotine,45,2,,2
pupae,14,wB,nicotine,27,3,,2
pupae,14,wB,nicotine,38,4,,2
pupae,14,wB,nicotine,45,5,,2
pupae,14,2-3wB,control,110,1,,2
pupae,14,2-3wB,control,100,2,,2
pupae,14,2-3wB,control,105,3,,2
pupae,14,2-3wB,alcohol,67,1,,2
pupae,14,2-3wB,alcohol,78,2,,2
pupae,14,2-3wB,alcohol,66,3,,2
pupae,14,2-3wB,nicotine,84,1,,2
pupae,14,2-3wB,nicotine,66,2,,2
pupae,14,2-3wB,nicotine,80,3,,2
pupae,14,2-3wB,nicotine,66,4,,2
pupae,14,w14864,control,125,1,,2
pupae,14,w14864,control,103,2,,2
pupae,14,w14864,control,111,3,,2
pupae,14,w14864,alcohol,120,1,,2
pupae,14,w14864,alcohol,115,2,,2
pupae,14,w14864,alcohol,100,3,,2
pupae,14,w14864,nicotine,37,1,,2
pupae,14,w14864,nicotine,44,2,,2
pupae,14,w14864,nicotine,39,3,,2
pupae,14,w14864,nicotine,43,4,,2
pupae,21,wB,control,120,1,,2
pupae,21,wB,control,80,2,,2
pupae,21,wB,control,95,3,,2
pupae,21,wB,alcohol,67,1,,2
pupae,21,wB,alcohol,66,2,,2
pupae,21,wB,alcohol,60,3,,2
pupae,21,wB,nicotine,44,1,,2
pupae,21,wB,nicotine,43,2,,2
pupae,21,wB,nicotine,54,3,,2
pupae,21,wB,nicotine,47,4,,2
pupae,21,wB,nicotine,39,5,,2
pupae,21,2-3wB,control,99,1,,2
pupae,21,2-3wB,control,105,2,,2
pupae,21,2-3wB,control,113,3,,2
pupae,21,2-3wB,alcohol,90,1,,2
pupae,21,2-3wB,alcohol,87,2,,2
pupae,21,2-3wB,alcohol,86,3,,2
pupae,21,2-3wB,nicotine,67,1,,2
pupae,21,2-3wB,nicotine,72,2,,2
pupae,21,2-3wB,nicotine,69,3,,2
pupae,21,2-3wB,nicotine,70,4,,2
pupae,21,w14864,control,140,1,,2
pupae,21,w14864,control,122,2,,2
pupae,21,w14864,control,118,3,,2
pupae,21,w14864,alcohol,100,1,,2
pupae,21,w14864,alcohol,99,2,,2
pupae,21,w14864,alcohol,106,3,,2
pupae,21,w14864,nicotine,45,1,,2
pupae,21,w14864,nicotine,44,2,,2
pupae,21,w14864,nicotine,50,3,,2
pupae,21,w14864,nicotine,49,4,,2
